时间,星期,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手
2021-04-01,四,10.86,10.87,10.44,10.47,-3.94%,3.94%,3622702,38189443,1.60%
2021-04-02,五,10.36,10.7,10.3,10.63,1.53%,3.82%,3028226,31903154,1.33%
2021-04-06,二,10.54,10.66,10.37,10.44,-1.79%,2.73%,2225272,23316657,0.98%
2021-04-07,三,10.44,10.51,10.34,10.39,-0.48%,1.63%,2370506,24639416,1.04%
2021-04-08,四,10.37,10.5,10.14,10.21,-1.73%,3.46%,2197100,22716166,0.97%
2021-04-09,五,10.16,10.58,10.08,10.5,2.84%,4.90%,2766353,28616736,1.22%
2021-04-12,一,10.29,10.56,10.17,10.23,-2.57%,3.71%,2287611,23627313,1.01%
2021-04-13,二,10.2,10.55,10.13,10.3,0.68%,4.11%,2453612,25326358,1.08%
2021-04-14,三,10.25,11.02,10.17,11.02,6.99%,8.25%,6795861,72987011,2.99%
2021-04-15,四,10.98,10.98,10.7,10.97,-0.45%,2.54%,3976048,43174863,1.75%
2021-04-16,五,10.97,11.45,10.81,11.33,3.28%,5.83%,6079016,67424314,2.68%
2021-04-19,一,11.25,12.46,11.21,12.09,6.71%,11.03%,10899102,131284003,4.80%
2021-04-20,二,11.71,12.48,11.58,12.43,2.81%,7.44%,9280820,111009486,4.09%
2021-04-21,三,12.3,12.3,11.77,11.81,-4.99%,4.26%,6330406,75723342,2.79%
2021-04-22,四,11.81,11.95,11.47,11.6,-1.78%,4.06%,4429956,51609149,1.95%
2021-04-23,五,11.48,11.71,11.22,11.36,-2.07%,4.22%,3780720,43039790,1.67%
2021-04-26,一,11.29,11.3,11.06,11.11,-2.20%,2.11%,3516620,39225687,1.55%
2021-04-27,二,11.03,11.1,10.47,10.61,-4.50%,5.67%,3891264,41483659,1.71%
2021-04-28,三,10.73,11.44,10.44,11.2,5.56%,9.43%,5223307,57021853,2.30%
2021-04-29,四,11,11.07,10.8,10.84,-3.21%,2.41%,2579293,28110130,1.14%
2021-04-30,五,10.72,11.33,10.72,11.08,2.21%,5.63%,3320936,36700514,1.46%
